Phase,ID,Time_uS,Delta_uS,SCH_Deg_s_X,SCH_Deg_s_Y,SCH_Deg_s_Z,SCH_G_X,SCH_G_Y,SCH_G_Z,ADXL_G_X,ADXL_G_Y,ADXL_G_Z,BNO_G_X,BNO_G_Y,BNO_G_Z,BNO_Deg_s_X,BNO_Deg_s_Y,BNO_Deg_s_Z,BNO_Mag_X,BNO_Mag_Y,BNO_Mag_Z
0,S,0,0,0.800,0.800,2.080,0.056,-0.234,-0.946,,,,,,,,,,,,
0,A,3555634,996,,,,,,,0.098,-0.238,-0.993,,,,,,,,,
0,B,722,5706,,,,,,,,,,0.045,-0.198,-0.996,,,,,,
0,S,1001837,3387,0.800,1.120,2.720,0.056,-0.234,-0.947,,,,,,,,,,,,
0,A,4556248,995,,,,,,,0.101,-0.234,-0.992,,,,,,,,,
0,B,1005224,1002141,,,,,,,,,,0.040,-0.198,-0.993,,,,,,
0,S,2000931,2709,-0.480,0.800,1.440,0.056,-0.233,-0.946,,,,,,,,,,,,
0,A,5558848,995,,,,,,,0.099,-0.233,-0.995,,,,,,,,,
0,B,2004995,1001435,,,,,,,,,,,,,,,,65.875,-89.562,10.750
0,S,3005453,5419,0.160,1.440,0.800,0.059,-0.236,-0.950,,,,,,,,,,,,
0,A,6558448,996,,,,,,,0.099,-0.236,-0.991,,,,,,,,,
0,B,3008163,1001466,,,,,,,,,,,,,,,,67.250,-90.500,11.125
1,S,3653012,2710,1.760,1.440,1.760,0.056,-0.235,-0.943,,,,,,,,,,,,
1,A,7207592,996,,,,,,,0.091,-0.233,-1.012,,,,,,,,,
1,B,3657076,648194,,,,,,,,,,,,,,,,66.625,-90.312,10.250
1,S,3657076,4064,1.760,1.120,1.760,0.056,-0.235,-0.945,,,,,,,,,,,,
1,A,7213566,996,,,,,,,0.096,-0.229,-1.016,,,,,,,,,
1,B,3662495,4697,,,,,,,,,,0.040,-0.195,-0.991,,,,,,
1,S,3662495,5419,1.120,0.480,2.080,0.055,-0.233,-0.949,,,,,,,,,,,,
1,A,7214561,995,,,,,,,0.098,-0.231,-1.015,,,,,,,,,
