Phase,ID,Time_uS,Delta_uS,SCH_Deg_s_X,SCH_Deg_s_Y,SCH_Deg_s_Z,SCH_m_s2_X,SCH_m_s2_Y,SCH_m_s2_Z,ADXL_m_s2_X,ADXL_m_s2_Y,ADXL_m_s2_Z,BNO_m_s2_X,BNO_m_s2_Y,BNO_m_s2_Z,BNO_Deg_s_X,BNO_Deg_s_Y,BNO_Deg_s_Z,BNO_Mag_X,BNO_Mag_Y,BNO_Mag_Z
0,B,6099818,1000035,,,,,,,,,,,,,0.000,0.000,0.000,,,
0,S,6099818,1000035,0.800,1.120,1.760,0.253,0.018,-9.438,,,,,,,,,,,,
0,A,6107835,1008052,,,,,,,1.231,-0.037,-9.884,,,,,,,,,
0,B,7100839,1001021,,,,,,,,,,,,,,,,40.312,-96.000,15.125
0,S,7100839,1001021,1.760,1.760,2.080,0.242,-0.013,-9.438,,,,,,,,,,,,
0,A,7108514,1000679,,,,,,,1.205,-0.107,-9.764,,,,,,,,,
0,S,8100522,1001715,1.440,1.120,2.720,0.273,0.092,-9.408,,,,,,,,,,,,
0,B,8103231,1002392,,,,,,,,,,,,,-0.224,0.224,0.000,,,
0,A,8112197,1003683,,,,,,,1.204,0.006,-9.869,,,,,,,,,
0,B,9103604,1000373,,,,,,,,,,,,,,,,40.000,-96.312,16.000
0,S,9103604,1001050,0.480,1.120,1.760,0.193,0.058,-9.473,,,,,,,,,,,,
0,A,9113866,1001669,,,,,,,1.285,0.002,-9.923,,,,,,,,,
0,B,10110083,1006479,,,,,,,,,,,,,,,,39.938,-94.375,15.250
0,S,10110083,1006479,0.800,1.120,1.760,0.247,0.098,-9.467,,,,,,,,,,,,
0,A,10114535,1000669,,,,,,,1.258,0.010,-9.928,,,,,,,,,
0,B,11112509,1002426,,,,,,,,,,0.020,0.324,-9.930,,,,,,
0,S,11112509,1002426,0.800,1.440,1.760,0.188,0.048,-9.467,,,,,,,,,,,,
0,A,11115188,1000653,,,,,,,1.287,-0.023,-9.880,,,,,,,,,
0,B,12115620,1003111,,,,,,,,,,,,,,,,40.562,-96.250,16.312
0,S,12115620,1003111,0.160,1.760,2.080,0.207,0.102,-9.422,,,,,,,,,,,,
0,A,12116847,1001659,,,,,,,1.273,-0.037,-9.784,,,,,,,,,
0,B,13116707,1001087,,,,,,,,,,0.020,0.402,-9.969,,,,,,
0,S,13116707,1001087,0.480,0.160,1.760,0.217,0.128,-9.502,,,,,,,,,,,,
0,A,13119487,1002640,,,,,,,1.300,0.025,-9.954,,,,,,,,,
0,B,14117123,1000416,,,,,,,,,,0.047,0.316,-10.004,,,,,,
0,S,14117123,1000416,0.160,2.080,2.080,0.278,0.077,-9.498,,,,,,,,,,,,
0,A,14124122,1004635,,,,,,,1.295,0.034,-9.717,,,,,,,,,
0,B,15120255,1003132,,,,,,,,,,-0.008,0.410,-10.027,,,,,,
0,S,15120255,1003132,0.800,2.720,2.720,0.207,0.158,-9.463,,,,,,,,,,,,
0,A,15126752,1002630,,,,,,,1.192,0.047,-9.906,,,,,,,,,
0,B,16120683,1000428,,,,,,,,,,0.086,0.324,-9.895,,,,,,
0,S,16120683,1000428,0.800,0.800,2.080,0.268,0.048,-9.432,,,,,,,,,,,,
0,A,16129396,1002644,,,,,,,1.266,-0.034,-9.832,,,,,,,,,
0,B,17121096,1000413,,,,,,,,,,,,,,,,40.250,-96.062,16.062
0,S,17121096,1000413,-1.120,1.440,1.760,0.233,0.058,-9.383,,,,,,,,,,,,
0,A,17130064,1000668,,,,,,,1.202,0.111,-10.026,,,,,,,,,
0,B,18123584,1002488,,,,,,,,,,,,,,,,40.688,-94.562,15.062
0,S,18123584,1002488,1.120,2.080,2.400,0.207,0.043,-9.418,,,,,,,,,,,,
0,A,18131723,1001659,,,,,,,1.394,-0.062,-9.970,,,,,,,,,
0,B,19124703,1001119,,,,,,,,,,-0.066,0.289,-9.945,,,,,,
0,S,19124703,1001119,2.080,1.440,2.400,0.128,-0.003,-9.477,,,,,,,,,,,,
0,A,19132369,1000646,,,,,,,1.297,-0.114,-9.894,,,,,,,,,
0,B,20127857,1003154,,,,,,,,,,0.078,0.336,-9.973,,,,,,
0,S,20127857,1003154,0.800,0.800,2.080,0.207,0.058,-9.527,,,,,,,,,,,,
0,A,20134005,1001636,,,,,,,1.291,0.021,-9.946,,,,,,,,,
2,S,20629097,501240,0.800,0.480,1.760,0.278,0.062,-9.447,,,,,,,,,,,,
2,A,20632826,498821,,,,,,,1.209,-0.008,-9.862,,,,,,,,,
2,B,20633838,505981,,,,,,,,,,0.078,0.355,-9.922,,,,,,
2,S,20633838,4741,0.800,0.480,1.760,0.323,0.092,-9.412,,,,,,,,,,,,
2,A,20638800,5974,,,,,,,1.217,-0.015,-10.020,,,,,,,,,
2,B,20639257,5419,,,,,,,,,,0.105,0.363,-9.934,,,,,,
2,S,20639257,0,0.160,2.080,2.400,0.282,0.083,-9.447,,,,,,,,,,,,
2,A,20639796,996,,,,,,,1.214,-0.005,-10.054,,,,,,,,,
2,B,20640612,1355,,,,,,,,,,,,,,,,40.000,-96.438,16.250
2,S,20640612,1355,1.120,2.400,2.400,0.273,0.072,-9.482,,,,,,,,,,,,
2,A,20642783,2987,,,,,,,1.228,0.002,-10.056,,,,,,,,,
2,B,20643321,2709,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20643321,2709,1.440,2.720,2.400,0.268,0.062,-9.557,,,,,,,,,,,,
2,A,20645770,2987,,,,,,,1.264,-0.010,-10.053,,,,,,,,,
2,B,20646708,3387,,,,,,,,,,0.059,0.324,-10.066,,,,,,
2,S,20646708,3387,1.440,2.080,2.080,0.263,0.062,-9.607,,,,,,,,,,,,
2,A,20648756,2986,,,,,,,1.249,-0.015,-9.981,,,,,,,,,
2,B,20650095,3387,,,,,,,,,,,,,,,,38.750,-95.375,15.562
2,S,20650095,3387,1.120,1.760,2.080,0.237,0.062,-9.582,,,,,,,,,,,,
2,A,20650748,1992,,,,,,,1.229,-0.013,-9.926,,,,,,,,,
2,B,20652127,2032,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20652127,2032,1.760,1.760,2.400,0.223,0.068,-9.543,,,,,,,,,,,,
2,A,20654730,3982,,,,,,,1.274,-0.023,-9.724,,,,,,,,,
2,B,20655513,3386,,,,,,,,,,0.047,0.344,-9.980,,,,,,
2,S,20655513,3386,2.080,0.800,2.720,0.228,0.068,-9.453,,,,,,,,,,,,
2,A,20657717,2987,,,,,,,1.369,-0.032,-9.609,,,,,,,,,
2,B,20658900,3387,,,,,,,,,,,,,,,,39.562,-98.562,17.688
2,S,20658900,3387,2.400,-0.480,2.080,0.228,0.068,-9.338,,,,,,,,,,,,
2,A,20659709,1992,,,,,,,1.382,-0.050,-9.605,,,,,,,,,
2,B,20660932,2032,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20660932,2032,1.760,-0.160,1.760,0.193,0.068,-9.283,,,,,,,,,,,,
2,A,20663691,3982,,,,,,,1.340,-0.047,-9.805,,,,,,,,,
2,B,20664319,3387,,,,,,,,,,0.008,0.336,-9.805,,,,,,
2,S,20664319,3387,1.440,0.800,1.760,0.117,0.052,-9.268,,,,,,,,,,,,
2,A,20666678,2987,,,,,,,1.307,-0.025,-10.006,,,,,,,,,
2,B,20667706,3387,,,,,,,,,,,,,,,,40.625,-97.312,16.062
2,S,20667706,3387,1.120,1.120,2.080,0.107,0.043,-9.352,,,,,,,,,,,,
2,A,20668669,1991,,,,,,,1.316,-0.004,-10.072,,,,,,,,,
2,B,20669738,2032,,,,,,,,,,-0.059,0.336,-9.906,,,,,,
2,S,20669738,2032,0.800,1.120,2.080,0.138,0.043,-9.432,,,,,,,,,,,,
2,A,20671656,3983,,,,,,,1.307,0.022,-10.035,,,,,,,,,
2,B,20673125,3387,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20673125,3387,0.480,1.440,2.080,0.182,0.052,-9.537,,,,,,,,,,,,
2,A,20674644,1992,,,,,,,1.322,0.000,-9.928,,,,,,,,,
2,B,20675157,2032,,,,,,,,,,,,,,,,39.438,-95.062,16.062
2,S,20675157,2032,0.160,1.760,2.400,0.188,0.058,-9.553,,,,,,,,,,,,
2,A,20677631,2987,,,,,,,1.326,-0.063,-9.873,,,,,,,,,
2,B,20678543,3386,,,,,,,,,,-0.008,0.355,-9.961,,,,,,
2,S,20678543,3386,0.480,2.080,2.720,0.168,0.062,-9.512,,,,,,,,,,,,
2,A,20680618,2987,,,,,,,1.320,-0.067,-9.932,,,,,,,,,
2,B,20681930,3387,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20681930,3387,1.440,1.760,2.400,0.133,0.048,-9.477,,,,,,,,,,,,
2,A,20683605,2987,,,,,,,1.317,-0.051,-10.000,,,,,,,,,
2,B,20683962,2032,,,,,,,,,,,,,,,,40.562,-95.250,15.750
2,S,20683962,2032,1.120,0.800,2.080,0.133,0.033,-9.498,,,,,,,,,,,,
2,A,20686592,2987,,,,,,,1.266,-0.023,-10.046,,,,,,,,,
2,B,20687349,3387,,,,,,,,,,-0.059,0.297,-10.008,,,,,,
2,S,20687349,3387,0.480,-0.480,1.440,0.163,0.018,-9.562,,,,,,,,,,,,
2,A,20688583,1991,,,,,,,1.308,-0.003,-10.091,,,,,,,,,
2,B,20689381,2032,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20689381,2032,-0.480,-0.800,1.440,0.193,0.028,-9.592,,,,,,,,,,,,
2,A,20693561,4978,,,,,,,1.331,0.008,-10.011,,,,,,,,,
2,B,20694123,4742,,,,,,,,,,,,,,,,40.062,-95.812,16.562
2,S,20694123,4742,-0.480,0.800,2.080,0.217,0.068,-9.578,,,,,,,,,,,,
2,A,20695553,1992,,,,,,,1.306,-0.023,-9.909,,,,,,,,,
2,B,20696155,2032,,,,,,,,,,0.008,0.324,-10.074,,,,,,
2,S,20696155,2032,1.120,1.440,2.400,0.207,0.077,-9.553,,,,,,,,,,,,
2,A,20697544,1991,,,,,,,1.319,-0.028,-9.862,,,,,,,,,
2,B,20698845,2690,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20698845,2690,1.760,1.760,2.400,0.193,0.077,-9.533,,,,,,,,,,,,
2,A,20701527,3983,,,,,,,1.318,-0.008,-9.871,,,,,,,,,
2,B,20702928,4083,,,,,,,,,,-0.008,0.375,-10.008,,,,,,
2,S,20702928,4083,1.760,1.760,2.080,0.152,0.062,-9.477,,,,,,,,,,,,
2,A,20704514,2987,,,,,,,1.286,0.043,-9.982,,,,,,,,,
2,B,20704960,2032,,,,,,,,,,,,,,,,40.062,-95.875,15.812
2,S,20704960,2032,0.800,2.080,1.760,0.133,0.062,-9.473,,,,,,,,,,,,
2,A,20707501,2987,,,,,,,1.271,0.058,-9.978,,,,,,,,,
2,B,20708347,3387,,,,,,,,,,-0.047,0.336,-10.000,,,,,,
2,S,20708347,3387,0.480,2.080,1.760,0.147,0.083,-9.498,,,,,,,,,,,,
2,A,20710488,2987,,,,,,,1.266,0.062,-9.833,,,,,,,,,
2,B,20711734,3387,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20711734,3387,0.160,2.080,1.440,0.207,0.113,-9.488,,,,,,,,,,,,
2,A,20714471,3983,,,,,,,1.265,0.042,-9.708,,,,,,,,,
2,B,20715120,3386,,,,,,,,,,,,,,,,40.625,-97.812,15.438
2,S,20715120,3386,0.800,2.080,1.760,0.223,0.133,-9.412,,,,,,,,,,,,
2,A,20717458,2987,,,,,,,1.273,0.024,-9.760,,,,,,,,,
2,B,20718507,3387,,,,,,,,,,0.020,0.395,-9.879,,,,,,
2,S,20718507,3387,2.080,2.400,2.400,0.203,0.142,-9.332,,,,,,,,,,,,
2,A,20720445,2987,,,,,,,1.245,0.025,-9.918,,,,,,,,,
2,B,20721217,2710,,,,,,,,,,,,,0.000,0.000,0.000,,,
2,S,20721217,2710,2.400,2.400,2.720,0.198,0.138,-9.338,,,,,,,,,,,,
2,A,20723432,2987,,,,,,,1.229,0.053,-9.936,,,,,,,,,
2,B,20723926,2709,,,,,,,,,,0.000,0.410,-9.906,,,,,,
2,S,20723926,2709,2.080,2.080,2.400,0.217,0.128,-9.412,,,,,,,,,,,,
2,A,20726419,2987,,,,,,,1.236,0.102,-9.867,,,,,,,,,
2,B,20727313,3387,,,,,,,,,,,,,,,,41.375,-97.875,16.000
2,S,20727313,3387,1.120,1.440,2.400,0.268,0.122,-9.482,,,,,,,,,,,,
