Phase,ID,Time_uS,Delta_uS,SCH_Deg_s_X,SCH_Deg_s_Y,SCH_Deg_s_Z,SCH_G_X,SCH_G_Y,SCH_G_Z,ADXL_G_X,ADXL_G_Y,ADXL_G_Z,BNO_G_X,BNO_G_Y,BNO_G_Z,BNO_Deg_s_X,BNO_Deg_s_Y,BNO_Deg_s_Z,BNO_Mag_X,BNO_Mag_Y,BNO_Mag_Z
0,B,6099818,1000035,,,,,,,,,,,,,0.000,0.000,0.000,,,
0,S,6099818,1000035,0.800,1.120,1.760,0.051,0.004,-1.925,,,,,,,,,,,,
0,A,6107835,1008052,,,,,,,0.126,-0.004,-1.008,,,,,,,,,
0,B,7100839,1001021,,,,,,,,,,,,,,,,40.312,-96.000,15.125
0,S,7100839,1001021,1.760,1.760,2.080,0.049,-0.003,-1.925,,,,,,,,,,,,
0,A,7108514,1000679,,,,,,,0.123,-0.011,-0.996,,,,,,,,,
0,S,8100522,1001715,1.440,1.120,2.720,0.056,0.019,-1.919,,,,,,,,,,,,
0,B,8103231,1002392,,,,,,,,,,,,,-0.224,0.224,0.000,,,
0,A,8112197,1003683,,,,,,,0.123,0.001,-1.006,,,,,,,,,
0,B,9103604,1000373,,,,,,,,,,,,,,,,40.000,-96.312,16.000
0,S,9103604,1001050,0.480,1.120,1.760,0.039,0.012,-1.932,,,,,,,,,,,,
0,A,9113866,1001669,,,,,,,0.131,0.000,-1.012,,,,,,,,,
0,B,10110083,1006479,,,,,,,,,,,,,,,,39.938,-94.375,15.250
0,S,10110083,1006479,0.800,1.120,1.760,0.050,0.020,-1.931,,,,,,,,,,,,
0,A,10114535,1000669,,,,,,,0.128,0.001,-1.012,,,,,,,,,
0,B,11112509,1002426,,,,,,,,,,0.002,0.033,-1.013,,,,,,
0,S,11112509,1002426,0.800,1.440,1.760,0.038,0.010,-1.931,,,,,,,,,,,,
0,A,11115188,1000653,,,,,,,0.131,-0.002,-1.007,,,,,,,,,
0,B,12115620,1003111,,,,,,,,,,,,,,,,40.562,-96.250,16.312
0,S,12115620,1003111,0.160,1.760,2.080,0.042,0.021,-1.922,,,,,,,,,,,,
